dataset_name,oversampler_name,n_neighbors,oversampling_option,mean,std
coil_2000,SMOTE,7,ADVANCED,0.19567651115537038,0.06665681690924025
coil_2000,SMOTE,7,BASIC,0.2042507886588889,0.04929386382247809
ecoli,ADASYN,3,ADVANCED,0.6960232309048148,0.06507727530295157
ecoli,ADASYN,3,BASIC,0.6289386231325,0.06730827224310312
ecoli,ADASYN,5,ADVANCED,0.6729689806301852,0.06216189652332607
ecoli,ADASYN,5,BASIC,0.632515540041852,0.06967829399007341
ecoli,ADASYN,7,ADVANCED,0.6781961197467593,0.06323419985307221
ecoli,BorderlineSMOTE,3,ADVANCED,0.71784994328,0.07154846721534674
ecoli,BorderlineSMOTE,3,BASIC,0.6186871770406482,0.06509298636934953
ecoli,BorderlineSMOTE,5,ADVANCED,0.6990942288332408,0.06905795343264659
ecoli,BorderlineSMOTE,5,BASIC,0.6755805460165741,0.07093042726963411
ecoli,BorderlineSMOTE,7,ADVANCED,0.6871352156260185,0.06756830054615462
ecoli,BorderlineSMOTE,7,BASIC,0.6421800884477779,0.0618116989376989
ecoli,SMOTE,3,ADVANCED,0.6793361319974075,0.06500692894922791
ecoli,SMOTE,3,BASIC,0.5919893070096296,0.0670685653120214
ecoli,SMOTE,5,ADVANCED,0.6746043000418519,0.07016830560198903
ecoli,SMOTE,5,BASIC,0.6316535008422223,0.08467219129200229
ecoli,SMOTE,7,ADVANCED,0.6694301840344445,0.06744636910441583
ecoli,SMOTE,7,BASIC,0.6336089528025926,0.07020729821208337
letter_img,ADASYN,3,ADVANCED,0.8494539239937964,0.13124286037211333
letter_img,ADASYN,3,BASIC,0.7298330722705556,0.21713139097882234
letter_img,ADASYN,5,ADVANCED,0.7857736199744444,0.2004185458072546
letter_img,ADASYN,5,BASIC,0.7245534410555555,0.23723705608807844
letter_img,ADASYN,7,ADVANCED,0.7572013243722222,0.22186009620963837
letter_img,ADASYN,7,BASIC,0.7111512542007408,0.22751348125853868
letter_img,BorderlineSMOTE,3,ADVANCED,0.7844567124070371,0.19405615135307397
letter_img,BorderlineSMOTE,3,BASIC,0.673345847455926,0.254827272912423
letter_img,BorderlineSMOTE,5,ADVANCED,0.7926025528082408,0.18744937059827727
letter_img,BorderlineSMOTE,5,BASIC,0.7043778550012963,0.26443998797571894
letter_img,BorderlineSMOTE,7,ADVANCED,0.7972600082834259,0.18368800453015213
letter_img,SMOTE,3,ADVANCED,0.8054758265691667,0.2087722473217255
letter_img,SMOTE,3,BASIC,0.7545419869253703,0.23403987281136568
letter_img,SMOTE,5,ADVANCED,0.8106024634805555,0.20725581617952513
letter_img,SMOTE,5,BASIC,0.7669421662025926,0.23113046605584572
letter_img,SMOTE,7,ADVANCED,0.814115325225463,0.20470192102661736
letter_img,SMOTE,7,BASIC,0.7945808202806482,0.20353650348731056
libras_move,ADASYN,3,BASIC,0.6893209876532408,0.16269013290953557
libras_move,ADASYN,5,ADVANCED,0.7430555555555556,0.11770085338103294
libras_move,ADASYN,5,BASIC,0.776516754850926,0.08406563922369922
libras_move,ADASYN,7,ADVANCED,0.7652777777777777,0.0960185950222795
libras_move,ADASYN,7,BASIC,0.7519444444444444,0.1100842910118754
libras_move,BorderlineSMOTE,3,ADVANCED,0.7697222222222223,0.09041105115607329
libras_move,BorderlineSMOTE,3,BASIC,0.7581481481483334,0.10339448630763455
libras_move,BorderlineSMOTE,5,ADVANCED,0.7858333333333334,0.06366363473283417
